,player,win_count
218,"Rytshagov,M",105
219,"Rodriguez, Andres",161
220,"Chiburdanidze, Maia",46
221,"Kobalia,M",98
222,"Harikrishna,P",212
223,"Sakaev,K",852
224,"Kempinski,R",40
225,"Safin,S",49
226,"Khalifman, Alexander",1092
227,"Bogoljubow, Efim",1312
228,"Iuldachev,S",69
229,"Yermolinsky, Alex",383
230,"Chigorin, Mikhail",1331
231,"Asabri,Hu",70
232,"Ehlvest,J",509
233,"Anastasian, Ashot",92
234,"Supatashvili,K",37
235,"Fominyh, Alexander",34
236,"Felgaer,R",365
237,"Petrosian, Tigran V",1164
238,"Nevednichy,V",137
239,"Morovic Fernandez,I",29
240,"Barua, Dibyendu",317
241,"Zubarev, Alexander",98
242,"Fischer, Robert James",402
243,"Shovunov,B",25
244,"Reinderman, Dimitri",49
245,"Carlsen, Magnus",519
246,"Lautier,J",427
247,"Utnasunov,A",145
248,"Timman, Jan H",519
249,"El Taher,F",193
250,"Azmaiparashvili,Z",794
251,"Fiorito,F",101
252,"Dolmatov, Sergey",311
253,"Lima,Da",115
254,"Georgiev,Ki",518
255,"Miles, Anthony J",274
256,"Christiansen, Larry Mark",46
257,"Smirnov,P",357
258,"Van der Sterren, Paul",43
259,"Kamsky, Gata",637
260,"Krasenkow, Michal",516
261,"Vescovi,G",134
262,"Hamdouchi,H",394
263,"Ivanov,AV USA",97
264,"Sutovsky,E",334
265,"Zapata, Alonso",47
266,"Movsesian, Sergei",192
267,"Hoeksema, Hendrik Pieter",35
268,"Delchev,A",296
269,"Fedorov,Alex",94
270,"De Firmian, Nick E",57
271,"Vallejo Pons,F",397
272,"Tregubov,P",172
273,"Gurevich,M",510
274,"Kasparov, Gary",2298
275,"Gunsberg, Isidor",372
276,"Inarkiev,E",134
277,"Bruzon,L",311
278,"Baklan,V",240
279,"Mohota,N",53
280,"Hracek, Zbynek",55
281,"Graf,A",275
282,"Anastasian,A",363
283,"Lesiege,A",150
284,"Kobalija, Mihail",141
285,"Zaja,I",37
286,"Vasquez,R",228
287,"Zukertort, Johannes Hermann",648
288,"Rublevsky,S",392
289,"Sutovskij, Emil",39
290,"Morovic Fernandez, Ivan",48
291,"Hernandez, Gilberto",36
292,"Reshevsky, Samuel Herman",473
293,"Almasi,Z",374
294,"Lastin,A",291
295,"Dautov,R",111
296,"Aseev,K",21
297,"El Gindy,E",73
298,"Kotronias,V",217
299,"Svidler,P",1039
300,"Moiseenko,A",148
301,"Vaganian, Rafael A",176
302,"Capablanca, Jose Raul",690
303,"Leitao, Rafael",86
304,Xu Yuanyuan,195
305,"Epishin, Vladimir",181
306,"Ganguly,S",175
307,"Asrian,K",210
308,"Babula, Vlastimil",138
309,"Tissir,M",79
310,"Sokolov, Ivan",291
311,"Sokolov, Andrei",170
312,"Polgar,Ju",602
313,Wang Yu,73
314,"Smyslov, Vassily",2105
315,"Galkin,A",174
316,"Psakhis,L",251
317,"Van der Wiel, John TH",47
318,"Aronian, Levon",158
319,"Touzane,O",96
320,Liang Chong,120
321,"Antonio, Rogelio Jr",120
322,"Bologan, Viktor",226
323,"Schlechter, Carl",128
324,"Grischuk,A",1351
325,"Akopian, Vladimir",715
326,Zhang Pengxiang,133
327,"Kudrin, Sergey",30
328,"Milos,G",256
329,"Guseinov,G",107
330,"Kasparov,G",63
331,"Gaprindashvili,N",35
332,"Sokolov,I",153
333,"Kotsur,P",158
334,"Leitao,R",383
335,"Tal, Mihail",1100
336,"Dominguez,L",449
337,"Volkov,S",422
338,"Pierrot,F",90
339,"Macieja, Bartlomiej",158
340,"Dolmatov,S",43
341,"Ramirez,Al",56
342,"Filippov,Va",397
343,"Dizdarevic,E",192
344,"Bacrot, Etienne",53
345,"Movsesian,S",667
346,"Rogozenko,D",43
347,"Smirin, Ilia",58
348,"Akopian,Vl",245
349,"Bologan,V",312
350,"Neelotpal,D",100
351,"Short,N",360
352,"Rozentalis, Eduardas",202
353,"Arakhamia,K",42
354,"Paehtz,E",169
355,"Labib,I",41
356,"Hansen,SuB",40
357,"Aronian,L",572
358,"Kudrin,S",112
359,Li Wenliang,45
360,"Zvjaginsev, Vadim",546
361,"Bartel,Mat",77
