,game_id,event,tournament_name,number_of_moves
0,88f34084-e4df-4908-b381-9502ca65e9bf,FIDE WCh KO,FideChamp2002,129.0
1,90baaafa-b306-4508-bf07-194ae21aee0e,FIDE WCh KO,FideChamp2000,6.0
