,game_id,player_name,move_sequence,move_count
10,00bdc5cb-22b3-4fc8-820c-b6d8a05f04b4,"Polgar, Judit",d4|Nf6|c4|g6|Nc3|Bg7|e4|d6|Be2|O-O|Nf3|e5|d5|a5|Bg5|Na6|O-O|Qe8|Nd2|Bd7|Rb1|h6|Be3|Nh7|b3|f5|f3|Nf6|a3|Nc5|b4|axb4|axb4|Na4|Nxa4|Rxa4|c5|Bb5|Re1|Ra3|Bxb5|Qxb5|Qe2|Qxe2|Rxe2|fxe4|fxe4|Ng4|Rbe1|Ra4|cxd6|cxd6|Bb6|Rc8|Ba5|h5|Rf1|Bh6|h3|Ne3|Rfe1|Nc2|Rc1|Kg7|Kh1|h4|Rf1|Bf4|Nf3|g5|Bd8|Nd4|Nxd4|exd4|Bb6|Rxb4|Ba5|d3|Bxb4|dxe2|Re1|Rc4,41
11,00bdc5cb-22b3-4fc8-820c-b6d8a05f04b4,"Zvjaginsev, Vadim",d4|Nf6|c4|g6|Nc3|Bg7|e4|d6|Be2|O-O|Nf3|e5|d5|a5|Bg5|Na6|O-O|Qe8|Nd2|Bd7|Rb1|h6|Be3|Nh7|b3|f5|f3|Nf6|a3|Nc5|b4|axb4|axb4|Na4|Nxa4|Rxa4|c5|Bb5|Re1|Ra3|Bxb5|Qxb5|Qe2|Qxe2|Rxe2|fxe4|fxe4|Ng4|Rbe1|Ra4|cxd6|cxd6|Bb6|Rc8|Ba5|h5|Rf1|Bh6|h3|Ne3|Rfe1|Nc2|Rc1|Kg7|Kh1|h4|Rf1|Bf4|Nf3|g5|Bd8|Nd4|Nxd4|exd4|Bb6|Rxb4|Ba5|d3|Bxb4|dxe2|Re1,41
12,00c5cb30-540b-47b0-8fba-579280ca1e71,"Azmaiparashvili, Zurab",d4|d5|c4|e6|Nf3|c6|Qc2|Nf6|g3|g6|Bg2|Bg7|O-O|O-O|Rd1|Nbd7|Nbd2|Re8|b3|b6|Bb2|Bb7|e4|dxe4|Nxe4|c5|Nd6|Qc7|Nxb7|Qxb7|Ne5|Qc7|Nxd7|Nxd7|Bxa8|Rxa8|dxc5|Nxc5|Bxg7|Kxg7|Qc3+|e5|Rd5|Re8|Re1|f6|f4|Nd7|Red1|Nf8|fxe5|fxe5|c5|Re6|c6|Kg8|Qc4,29
13,00c5cb30-540b-47b0-8fba-579280ca1e71,"Slobodjan, Roman",d4|d5|c4|e6|Nf3|c6|Qc2|Nf6|g3|g6|Bg2|Bg7|O-O|O-O|Rd1|Nbd7|Nbd2|Re8|b3|b6|Bb2|Bb7|e4|dxe4|Nxe4|c5|Nd6|Qc7|Nxb7|Qxb7|Ne5|Qc7|Nxd7|Nxd7|Bxa8|Rxa8|dxc5|Nxc5|Bxg7|Kxg7|Qc3+|e5|Rd5|Re8|Re1|f6|f4|Nd7|Red1|Nf8|fxe5|fxe5|c5|Re6|c6|Kg8|Qc4|Qxc6,29
14,00cb694b-245d-4a52-8b64-58d554b6e3a2,"Smyslov, Vassily",c4|Nf6|Nc3|d5|cxd5|Nxd5|e4|Nxc3|bxc3|g6|Ba3|Nd7|Nf3|Bg7|Be2|c5|O-O|O-O|d4|cxd4|cxd4|Nb6|Qb3|Bg4|Rad1|Bd7|Rc1|Ba4|Qb4|e6|Bb5|Bxb5|Qxb5|Re8|Rfd1|Rc8|Bc5|Qc7|Rb1|Qc6|Bxb6|axb6|e5|Qxb5|Rxb5|Rc6|g3|Ra8|Rd2|Bh6|Rdb2|Bc1|Rb1|Rxa2|Rxb6|Rxb6|Rxb6|Rb2|Rxb2|Bxb2|Kf1|Kf8|Ke2|Ke8|Kd3|b5|Ng5|h5|h3|Ba3|f3|Be7|Ne4|Kd7|g4|Kc6|Ng3|hxg4|fxg4|b4|Kc4|g5|Ne4|b3|Nc3|b2|Kb3|f6|Kxb2|fxe5|dxe5|Kc5|Kc2|Kd4|Nb5+|Kxe5,48
15,00cb694b-245d-4a52-8b64-58d554b6e3a2,"Keres, Paul",c4|Nf6|Nc3|d5|cxd5|Nxd5|e4|Nxc3|bxc3|g6|Ba3|Nd7|Nf3|Bg7|Be2|c5|O-O|O-O|d4|cxd4|cxd4|Nb6|Qb3|Bg4|Rad1|Bd7|Rc1|Ba4|Qb4|e6|Bb5|Bxb5|Qxb5|Re8|Rfd1|Rc8|Bc5|Qc7|Rb1|Qc6|Bxb6|axb6|e5|Qxb5|Rxb5|Rc6|g3|Ra8|Rd2|Bh6|Rdb2|Bc1|Rb1|Rxa2|Rxb6|Rxb6|Rxb6|Rb2|Rxb2|Bxb2|Kf1|Kf8|Ke2|Ke8|Kd3|b5|Ng5|h5|h3|Ba3|f3|Be7|Ne4|Kd7|g4|Kc6|Ng3|hxg4|fxg4|b4|Kc4|g5|Ne4|b3|Nc3|b2|Kb3|f6|Kxb2|fxe5|dxe5|Kc5|Kc2|Kd4|Nb5+|Kxe5|Kd3,49
16,00ff8f8a-33d1-466c-8d38-bab60eaaa265,"Hoffman, Alejandro",d4|Nf6|Nf3|e6|c4|d5|g3|c6|Bg2|Nbd7|Qc2|Bd6|O-O|O-O|Rd1|Qe7|Nc3|Rd8|e4|Nxe4|Nxe4|dxe4|Qxe4|c5|Bf4|Nf6|Bxd6|Rxd6|Qe5|Nd7|Qe3|a5|dxc5|Rxd1+|Rxd1|Nxc5|Nd4|g6|Nb5|Ra6|Qe5|Bd7|Nc7|f6|Qe3|Kg7|Nxa6|bxa6,24
17,00ff8f8a-33d1-466c-8d38-bab60eaaa265,"Tkachiev, Vladislav",d4|Nf6|Nf3|e6|c4|d5|g3|c6|Bg2|Nbd7|Qc2|Bd6|O-O|O-O|Rd1|Qe7|Nc3|Rd8|e4|Nxe4|Nxe4|dxe4|Qxe4|c5|Bf4|Nf6|Bxd6|Rxd6|Qe5|Nd7|Qe3|a5|dxc5|Rxd1+|Rxd1|Nxc5|Nd4|g6|Nb5|Ra6|Qe5|Bd7|Nc7|f6|Qe3|Kg7|Nxa6|bxa6|b3,25
18,01102870-dbe8-4fd2-a8cd-4e51b79e110f,"Kacheishvili,G",d4|Nf6|g3|g6|Bg2|Bg7|e4|d6|Nc3|O-O|Nge2|Na6|O-O|c5|h3|cxd4|Nxd4|Nc5|Be3|Bd7|Nb3|Na4|Nxa4|Bxa4|Nd4|Bd7|Qd3|Rc8|c4|Qa5|Rfd1|Rfd8|a3|a6|Rac1|Qc7|b3|Qb8|a4|b6|Nc2|a5|Bd4|Bc6|Ne3|Nd7|Nd5|Re8|Bxg7|Kxg7|h4|e6|Nc3|Nc5|Qxd6|Qb7|Rb1|e5|f3|f5|exf5|gxf5|Qd2|Kh8|Nd5|Rg8|Kh2|Bxd5|cxd5|Qg7|Qg5|Qf7|Qe3|Qf6|f4|exf4|Qd4|fxg3+|Kh3|Rcf8|Qxf6+|Rxf6|Rd4|f4|Rf1|Rgf8|Rf3|Nd7|d6|Ne5|d7|Nxf3|d8=Q|Ng1+|Kg4|Rg6+|Qg5|Rxg5+|hxg5|f3|Rd1|Ne2|Bxf3|Rf4+|Kh5|Rxf3|Kh6,54
19,01102870-dbe8-4fd2-a8cd-4e51b79e110f,"Kotronias,V",d4|Nf6|g3|g6|Bg2|Bg7|e4|d6|Nc3|O-O|Nge2|Na6|O-O|c5|h3|cxd4|Nxd4|Nc5|Be3|Bd7|Nb3|Na4|Nxa4|Bxa4|Nd4|Bd7|Qd3|Rc8|c4|Qa5|Rfd1|Rfd8|a3|a6|Rac1|Qc7|b3|Qb8|a4|b6|Nc2|a5|Bd4|Bc6|Ne3|Nd7|Nd5|Re8|Bxg7|Kxg7|h4|e6|Nc3|Nc5|Qxd6|Qb7|Rb1|e5|f3|f5|exf5|gxf5|Qd2|Kh8|Nd5|Rg8|Kh2|Bxd5|cxd5|Qg7|Qg5|Qf7|Qe3|Qf6|f4|exf4|Qd4|fxg3+|Kh3|Rcf8|Qxf6+|Rxf6|Rd4|f4|Rf1|Rgf8|Rf3|Nd7|d6|Ne5|d7|Nxf3|d8=Q|Ng1+|Kg4|Rg6+|Qg5|Rxg5+|hxg5|f3|Rd1|Ne2|Bxf3|Rf4+|Kh5|Rxf3|Kh6|Kg8,54
