,game_id,event,player_name
62,fd63fae6-4c5b-428b-9f94-4b486bc2ff7f,FIDE WCh KO,"Gelfand,B"
63,c360aced-29c6-4964-b160-7dc617b953e5,FIDE WCh KO Final,"Ivanchuk,V"
64,732257ac-34ce-4f3d-85e2-2179be5da493,FIDE-Wch k.o. g/25+10,"Tkachiev, Vladislav"
65,5fbc8d4f-b8af-4ac8-8e59-d8b4d002ae27,World Championship 25th,"Petrosian, Tigran V"
66,3e28ffb0-5359-44b4-9984-ece17a050345,World Championship 19th,"Botvinnik, Mikhail"
67,3f31d62a-761a-427c-9f1e-d3dc20493e08,World Championship 18th,"Euwe, Max"
68,a0538261-c431-49c2-9b22-82481c41ea5e,World Championship 16th,"Euwe, Max"
69,8923c02d-e59b-4c35-adbc-8dbe160aa8a4,World Championship 1st,"Steinitz, William"
70,7874d4ed-23b3-43be-a807-67c6fef579f2,WCh,"Kramnik,V"
71,1aed4478-0f62-41b6-ad1a-24521d66504f,WCh Playoffs,"Kramnik,V"
72,a5aa76f3-48a8-4f4a-bdf7-dc6296dab363,FIDE WCh KO,"Kasimdzhanov,R"
73,7bd5493f-8f3d-4f53-a78d-c06234f45594,FIDE WCh KO,"Smirin,I"
74,123f8271-9462-4311-a597-380dca508d8f,FIDE WCh KO,"Ponomariov,R"
75,123d5fee-3c68-4037-a165-c464419c0b5b,FIDE WCh KO,"Shirov,A"
76,dc8ee158-38d1-4fc8-b289-b8f719d119f9,FIDE-Wch k.o.,"Sadler, Matthew"
77,6d290882-2d24-42f0-8447-82f6cf946e48,FIDE-Wch k.o.,"Tkachiev, Vladislav"
78,29dd63e9-1ca8-4ba8-8385-fbd5163494a5,World Championship 27th,"Spassky, Boris V"
79,ef56e988-f8cf-4d7a-aba6-9f70fbda517c,World Championship 24th,"Tal, Mihail"
80,611e65b0-1ad3-4c2b-9297-d934cc794d63,World Championship 22th,"Smyslov, Vassily"
81,5621bb19-73c8-4e5e-a3d3-54f3722ad7be,World Championship 16th,"Euwe, Max"
82,7bb045e8-5a7a-4cef-a907-b6d9c7d4597a,World Championship 1st,"Steinitz, William"
83,7c905bde-eef2-4d49-a9ca-56299cfc4964,FIDE WCh KO,"Gulko,B"
84,472c8f99-f2c6-4446-9da0-c549d3815e58,PCA-World Championship,"Anand, Viswanathan"
85,0128c0c8-d901-4c87-9452-3981c597eb7c,World Championship 34th-KK4,"Kasparov, Gary"
