,game_id,event,tournament_name,number_of_moves
0,4424a0a4-3732-407c-bf0c-da47f6d91921,FIDE WCh KO,FideChamp2000,145.0
1,1846cede-0037-4f04-9dc2-bf948cf08d72,World Championship 28th,WorldChamp1972,0.0
